KO_ID	P1	P2	P3	P4	I1	I2	I3	I4
K02638	0	11	6	7	6	8	1	1
K02639	1	0	1	1	2	2	0	0
K02640	0	0	1	0	0	1	0	0
K02641	3	3	2	1	1	1	1	0
K02642	0	0	0	0	0	0	0	0
K02643	0	0	0	0	0	0	0	0
K02644	0	0	0	0	0	0	0	0
K02646	0	0	0	0	0	0	0	0
K02648	0	0	0	0	0	0	0	0
K02649	0	0	0	0	0	0	0	0
K02650	13	102	75	69	105	91	48	12
K02651	2	27	18	23	36	20	19	1
K02657	2	15	16	6	10	10	7	0
K02658	7	52	48	25	38	35	22	1
K02659	2	10	11	5	6	9	4	0
K02660	3	47	46	21	42	40	20	2
K02661	0	2	0	0	0	2	1	0
K02667	7	33	27	16	30	29	11	9
K02668	4	33	26	18	31	27	10	7
K02677	0	0	0	0	0	0	0	0
K02678	0	0	0	0	0	0	0	0
K02684	0	0	0	0	0	3	0	0
K02685	0	0	0	0	0	0	0	0
K02686	1	3	3	2	2	1	2	0
K02689	0	1	2	0	0	1	0	0
K02690	0	1	2	0	0	1	0	0
K02691	0	0	0	0	0	1	0	0
K02692	0	0	0	0	0	0	0	0
K02693	0	0	0	0	0	0	0	0
K02694	0	0	0	0	0	0	0	0
K02695	0	0	0	0	0	0	0	0
K02696	0	0	1	0	0	1	0	0
K02697	0	0	2	0	0	1	0	0
K02698	0	0	0	0	0	0	0	0
K02699	0	0	0	0	0	0	0	0
K02700	0	0	0	0	0	0	0	0
K02701	0	0	0	0	0	0	0	0
K02702	0	0	0	0	0	0	0	0
K02703	0	0	2	0	0	1	0	0
K02704	0	0	2	0	0	1	0	0
K02705	0	0	1	0	0	1	0	0
K02706	0	0	1	0	0	0	0	0
K02707	0	0	2	0	0	1	0	0
K02708	0	0	2	0	0	1	0	0
K02709	0	0	2	0	0	1	0	0
K02710	0	0	1	0	0	1	0	0
K02711	0	0	2	0	0	1	0	0
K02712	0	0	1	0	0	1	0	0
K02713	0	0	1	0	0	1	0	0
K02714	0	0	0	0	0	0	0	0
K02716	0	0	0	0	0	0	0	0
K02717	0	0	0	0	0	0	1	0
K02718	0	0	2	0	0	1	0	0
K02719	0	0	0	0	0	0	0	0
K02720	0	0	0	0	0	0	0	0
K02721	0	0	0	0	0	0	0	0
K02722	0	0	0	0	0	0	0	0
K02723	0	0	0	0	0	0	0	0
K02724	0	0	0	0	0	0	0	0
K02725	0	0	0	0	0	0	0	0
K02726	0	0	0	0	0	0	0	0
K02727	0	0	0	0	0	0	0	0
K02728	0	0	0	0	0	0	0	0
K02729	0	0	0	0	0	0	0	0
K02730	0	0	0	0	0	0	0	0
K02731	0	0	0	0	0	0	0	0
K02732	0	0	0	0	0	0	0	0
K02733	0	0	0	0	0	0	0	0
K02734	0	0	0	0	0	0	0	0
K02735	0	0	0	0	0	0	0	0
K02736	0	0	0	0	0	0	0	0
K02737	0	0	0	0	0	0	0	0
K02738	0	0	0	0	0	0	0	0
K02739	0	0	0	0	0	0	0	0
K02740	0	0	0	0	0	0	0	0
K02741	0	0	0	0	0	0	0	0
K02744	4	24	22	16	20	14	12	0
K02745	2	0	0	0	2	0	0	0
K02746	2	0	0	0	2	0	0	0
K02747	4	4	2	0	6	0	2	0
K02749	4	0	0	0	0	0	0	0
K02750	4	0	0	0	0	0	0	0
K02752	4	0	0	0	0	0	0	0
K02753	4	0	0	0	0	0	0	0
K02755	2	0	0	0	0	0	0	0
K02756	2	0	0	0	0	0	0	0
K02757	2	0	0	0	0	0	0	0
K02759	3	7	6	4	6	2	4	0
K02760	1	0	0	0	0	0	0	0
K02761	3	2	1	0	1	0	1	0
K02763	4	4	10	2	4	6	6	0
K02764	2	4	10	2	4	6	6	0
K02765	2	4	10	2	4	6	6	0
K02768	12	92	62	28	76	48	24	2
K02769	0	6	2	2	8	0	0	0
K02770	0	6	2	0	6	0	0	0
K02771	0	4	2	0	4	0	2	0
K02773	2	0	0	0	0	0	0	0
K02774	2	0	0	0	0	0	0	0
K02775	2	0	0	0	0	0	0	0
K02777	12	0	0	0	0	0	0	0
K02778	3	6	15	3	6	9	9	0
K02779	3	6	15	3	6	9	9	0
K02781	0	0	0	0	0	0	0	0
K02782	0	0	0	0	0	0	0	0
K02783	0	0	0	0	0	0	0	0
K02784	1	4	1	0	2	2	1	1
K02786	0	0	0	0	0	0	0	0
K02787	0	0	0	0	0	0	0	0
K02788	0	0	0	0	0	0	0	0
K02790	6	0	0	0	0	0	0	0
K02791	6	0	0	0	0	0	0	0
K02793	12	90	57	42	57	42	30	6
K02794	6	60	48	33	45	30	24	0
K02795	3	24	15	6	21	9	9	0
K02796	6	21	12	9	24	9	6	0
K02798	0	0	4	0	4	0	0	0
K02799	0	0	4	0	4	0	0	0
K02800	0	0	2	0	2	0	0	0
K02802	4	4	8	2	4	4	6	0
K02803	4	4	8	2	4	6	6	0
K02804	4	4	8	2	4	6	6	0
K02806	2	36	25	19	35	18	14	3
K02808	0	0	0	0	0	0	0	0
K02809	8	0	0	0	0	0	0	0
K02810	8	0	0	0	0	0	0	0
K02812	0	0	0	0	0	0	0	0
K02813	0	0	0	0	0	0	0	0
K02814	0	0	0	0	2	0	0	0
K02815	0	4	2	0	4	0	2	0
K02817	0	0	0	0	0	0	0	0
K02818	4	0	0	0	0	0	0	0
K02819	4	0	0	0	0	0	0	0
K02821	10	36	26	22	28	22	16	2
K02822	4	0	0	0	0	0	0	0
K02825	3	37	23	27	33	35	11	2
K02826	5	28	16	28	22	15	3	3
K02827	2	8	5	7	6	7	1	0
K02828	1	0	1	0	1	1	0	0
K02829	0	0	0	1	0	0	0	0
K02830	0	0	0	2	0	0	0	0
K02831	0	0	0	0	0	0	0	0
K02833	0	0	0	0	0	0	0	0
K02840	0	0	0	1	0	0	0	0
K02841	3	61	43	27	47	44	18	7
K02842	0	0	0	0	0	0	0	0
K02843	6	93	67	52	91	70	32	8
K02844	2	23	12	15	18	19	7	0
K02847	1	17	10	11	13	12	1	3
K02848	0	0	0	0	1	0	0	0
K02849	2	41	25	22	40	25	14	3
K02850	0	0	0	0	0	0	0	0
K02858	9	51	31	33	46	28	14	8
K02861	0	0	0	0	0	0	0	0
K02863	1	32	22	27	36	17	16	7
K02864	2	32	20	21	33	17	16	7
K02865	0	0	0	0	0	0	0	0
K02866	0	0	0	0	0	0	2	0
K02867	1	31	23	30	30	16	16	6
K02868	0	0	0	0	0	0	0	0
K02869	1	0	0	0	0	0	2	0
K02870	0	0	0	0	0	0	0	0
K02871	7	48	35	35	58	39	20	6
K02872	0	0	0	0	0	0	0	0
K02873	0	0	0	0	0	0	0	0
K02874	6	44	37	30	47	28	16	1
K02875	0	0	0	0	0	0	0	0
K02876	6	44	38	27	29	32	16	1
K02877	0	0	0	0	0	0	2	0
K02878	5	45	37	31	48	28	13	2
K02879	7	38	29	34	36	30	24	1
K02880	0	0	0	1	0	0	0	0
K02881	6	42	36	28	34	31	12	2
K02882	0	0	0	0	0	0	0	0
K02883	0	0	0	0	1	0	1	1
K02884	4	47	43	31	44	37	12	5
K02885	2	4	2	3	2	3	2	2
K02886	4	38	28	27	38	18	14	2
K02887	3	51	36	28	53	47	16	7
K02888	6	42	35	33	36	34	21	2
K02889	2	0	0	0	0	0	1	0
K02890	4	39	29	31	39	20	14	2
K02891	0	0	0	0	0	0	0	0
K02892	3	38	23	24	34	17	10	2
K02893	0	3	1	1	0	2	0	0
K02894	0	0	0	0	0	0	0	0
K02895	5	51	38	33	51	31	17	2
K02896	0	0	0	0	0	0	0	0
K02897	7	56	36	32	45	44	22	6
K02898	0	0	0	0	0	0	0	0
K02899	6	47	35	36	37	34	22	4
K02900	0	0	0	0	0	0	0	0
K02901	0	0	0	0	0	0	0	0
K02902	8	106	71	60	88	79	43	9
K02903	0	0	0	0	0	0	0	0
K02904	5	43	34	29	43	23	14	1
K02905	0	0	0	0	0	0	0	0
K02906	2	38	20	22	27	16	9	2
K02907	6	37	35	26	29	28	13	1
K02908	2	0	0	0	1	1	0	0
K02909	6	59	32	30	56	45	22	6
K02910	0	0	0	0	0	0	2	0
K02911	1	37	41	32	46	28	13	4
K02912	2	0	0	0	1	0	1	0
K02913	3	33	29	27	30	21	13	4
K02914	2	27	24	19	22	22	4	1
K02915	0	0	0	0	0	0	0	0
K02916	3	48	31	28	49	41	13	6
K02917	0	0	0	0	0	0	0	0
K02918	0	0	0	0	0	0	0	0
K02919	4	20	17	18	21	14	7	0
K02920	0	0	0	0	0	0	0	0
K02921	0	0	0	0	1	0	0	0
K02922	0	0	0	0	0	0	0	0
K02923	0	0	0	0	0	0	0	0
K02924	0	0	0	0	0	0	0	0
K02925	0	0	0	0	0	0	0	0
K02926	2	34	20	23	32	15	9	2
K02927	0	0	0	0	0	0	0	0
K02928	0	0	0	0	0	0	0	0
K02929	1	0	0	0	0	0	1	0
K02930	0	0	0	0	0	0	0	0
K02931	5	41	37	28	44	27	16	2
K02932	0	0	0	0	0	0	0	0
K02933	5	41	39	30	38	30	14	1
K02934	0	0	0	0	0	0	0	0
K02935	1	35	22	25	34	18	14	7
K02936	0	0	0	0	0	1	1	0
K02937	0	0	0	0	0	0	0	0
K02938	0	0	0	0	0	0	0	0
K02939	8	56	38	33	49	41	19	7
K02940	0	0	0	0	0	0	0	0
K02941	0	0	0	0	0	0	0	0
K02942	0	0	0	0	0	0	0	0
K02943	0	0	0	0	0	0	0	0
K02944	0	0	0	0	0	0	0	0
K02945	17	139	86	78	112	88	34	14
K02946	1	32	18	19	26	13	10	1
K02947	0	0	0	0	0	0	0	0
K02948	6	44	36	28	29	32	22	2
K02949	0	0	0	0	0	0	0	0
K02950	5	32	29	25	33	24	17	4
K02951	0	0	0	0	0	0	0	0
K02952	7	48	33	30	31	35	20	1
K02953	0	0	0	0	0	0	0	0
K02954	2	32	34	19	29	23	11	1
K02955	0	0	0	0	0	0	0	0
K02956	3	49	27	24	40	31	12	7
K02957	0	0	0	0	0	0	0	0
K02958	0	0	0	0	0	0	0	0
K02959	2	54	40	35	39	42	10	5
K02960	0	0	0	0	0	0	0	0
K02961	6	44	35	30	45	26	15	1
K02962	0	0	0	0	0	0	0	1
K02963	8	56	38	32	52	44	18	7
K02964	0	0	0	0	0	0	0	0
K02965	3	38	31	29	39	18	13	2
K02966	1	0	0	0	0	0	1	0
K02967	10	45	39	33	43	40	26	9
K02968	6	49	32	33	52	42	19	7
K02969	0	0	0	0	0	0	0	0
K02970	5	50	33	28	38	33	13	3
K02971	0	0	0	0	0	0	0	0
K02972	1	0	0	0	0	0	0	0
K02973	0	0	0	0	1	0	0	0
K02974	1	0	0	0	0	0	1	0
K02975	1	0	0	0	0	1	1	0
K02976	0	0	0	0	0	0	0	0
K02977	1	0	0	0	0	0	1	0
K02978	1	0	0	0	0	0	1	0
K02979	0	0	0	0	0	1	1	0
K02980	0	0	0	0	0	0	0	0
K02981	0	0	0	0	0	0	0	0
K02982	4	46	35	32	41	23	14	3
K02983	0	0	0	0	0	0	0	0
K02984	1	0	0	0	0	0	1	0
K02985	0	0	0	0	0	0	0	0
K02986	8	42	32	31	34	33	22	2
K02987	0	0	0	0	0	0	2	0
K02988	6	47	37	27	31	32	14	2
K02989	0	0	0	0	0	0	0	0
K02990	8	56	35	35	53	46	18	7
K02991	3	0	0	0	0	0	3	0
K02992	4	29	27	24	32	24	17	4
K02993	0	0	0	0	0	0	0	0
K02994	5	38	42	29	42	29	14	1
K02995	0	0	0	0	0	0	0	0
K02996	6	47	35	33	56	36	22	6
K02997	0	0	0	0	0	0	0	0
K02998	0	0	0	0	0	0	0	0
K02999	0	0	0	0	0	0	0	0
K03000	0	0	0	0	0	0	0	0
K03001	0	0	0	0	0	0	0	0
K03002	0	0	0	0	0	0	0	0
K03003	0	0	0	0	0	0	0	0
K03004	0	0	0	0	0	0	0	0
K03005	0	0	0	0	0	0	0	0
K03006	0	0	0	8	0	20	0	0
K03007	0	0	0	0	0	0	0	0
K03008	0	0	0	0	0	0	0	0
K03009	0	0	0	0	0	0	0	0
K03010	0	0	0	0	0	0	0	0
K03011	0	0	0	0	0	0	0	0
K03012	0	0	0	0	0	0	0	0
K03013	0	0	0	0	0	0	0	0
K03014	5	0	0	0	0	0	5	0
K03015	0	0	0	0	0	0	0	0
K03016	0	0	0	0	0	0	0	0
K03017	0	0	0	0	0	0	0	0
K03018	0	0	0	0	0	0	0	0
K03019	0	0	0	0	0	0	0	0
K03020	0	0	0	0	0	0	0	0
K03021	0	0	0	0	0	4	0	0
K03022	0	0	0	0	0	0	0	0
K03023	0	0	0	0	0	0	0	0
K03024	0	0	0	0	0	0	0	0
K03025	0	0	0	0	0	0	0	0
K03026	0	0	0	0	0	0	0	0
K03027	0	0	0	0	0	0	0	0
K03028	0	0	0	0	0	0	0	0
K03029	0	0	0	0	0	0	0	0
K03030	0	0	0	0	0	0	0	0
K03031	0	0	0	0	0	0	0	0
K03032	0	0	0	0	0	0	0	0
K03033	0	0	0	0	0	0	0	0
K03035	0	0	0	0	0	0	0	0
K03036	0	0	0	0	0	0	0	0
K03037	0	0	0	0	0	0	0	0
K03038	0	0	0	0	0	0	0	0
K03039	0	0	0	0	0	0	0	0
K03040	24	135	111	96	117	96	69	3
K03041	6	0	0	0	3	3	3	0
K03042	0	0	0	0	0	0	0	0
K03043	6	84	57	42	63	30	39	9
K03044	6	0	0	0	3	0	0	0
K03045	6	0	0	0	3	0	0	0
K03046	9	120	99	87	108	81	57	9
K03047	0	0	0	0	6	0	3	3
K03048	0	0	0	0	0	0	0	0
K03049	3	0	0	0	0	0	3	0
K03050	0	0	0	0	0	0	0	0
K03051	6	0	0	0	0	0	3	0
K03052	0	0	0	0	0	0	0	0
K03053	0	0	0	0	0	0	0	0
K03054	0	0	0	0	0	0	0	0
K03055	3	0	0	0	0	0	3	0
K03056	0	0	0	0	0	0	3	0
K03058	4	0	0	0	0	0	0	0
K03059	0	0	0	0	0	0	3	0
K03060	3	129	99	90	102	81	33	12
K03061	0	0	0	0	0	0	0	0
K03062	0	0	0	0	0	0	0	0
K03063	0	0	0	0	0	0	0	0
K03064	0	0	0	0	0	0	0	0
K03065	0	0	0	0	0	0	0	0
K03066	0	0	0	0	0	0	0	0
K03068	0	2	0	1	0	0	2	0
K03069	0	0	0	0	0	0	0	0
K03070	6	104	64	80	84	86	40	10
K03071	2	38	32	28	38	24	18	4
K03072	16	164	118	118	142	120	44	12
K03073	0	42	44	38	30	24	18	8
K03074	10	102	76	76	92	80	30	6
K03075	16	74	60	58	82	44	36	12
K03076	6	96	76	64	66	66	30	4
K03077	3	25	16	18	15	12	6	3
K03078	1	0	0	0	0	0	0	0
K03079	1	1	1	0	1	1	1	0
K03080	2	16	13	13	11	7	6	2
K03081	1	0	0	0	0	0	0	0
K03082	1	7	3	2	6	5	3	0
K03083	0	0	0	0	0	0	0	0
K03084	0	0	0	0	0	0	0	0
K03085	0	0	0	0	0	0	0	0
K03086	7	116	71	66	107	75	29	9
K03087	8	162	104	100	160	132	42	6
K03088	84	1280	828	716	1130	874	449	109
K03089	3	29	18	19	17	16	7	1
K03090	4	35	15	19	17	7	10	2
K03091	0	3	2	2	5	1	1	1
K03092	12	159	126	87	144	147	57	18
K03093	0	0	0	0	0	0	0	1
K03094	0	0	0	0	0	8	0	0
K03096	0	0	0	0	0	0	0	0
K03097	0	0	0	0	0	0	0	0
K03099	0	0	0	0	0	0	0	0
K03100	17	121	79	72	119	95	32	12
K03101	4	68	51	40	56	45	20	9
K03102	0	0	0	1	0	0	0	0
K03103	0	0	0	0	0	0	0	0
K03104	0	0	0	0	0	0	0	0
K03105	0	0	0	0	0	0	1	0
K03106	2	110	72	68	92	88	34	6
K03107	0	0	0	0	0	0	0	0
K03108	0	0	0	0	0	0	0	0
K03109	0	0	0	0	0	0	0	0
K03110	10	118	76	72	96	84	38	14
K03111	16	152	90	76	132	90	46	22
K03113	3	13	9	3	10	8	4	0
K03114	0	0	0	0	0	0	0	0
K03115	0	12	6	0	12	6	0	0
K03116	24	240	152	156	216	184	92	28
K03117	12	124	78	74	110	82	44	14
K03118	12	144	84	92	138	98	60	10
K03119	5	54	44	40	55	31	22	4
K03120	2	0	0	0	2	0	2	0
K03121	0	0	0	0	0	0	0	0
K03122	0	0	0	0	0	0	0	0
K03123	0	0	0	0	0	0	0	0
K03124	5	0	0	0	1	0	6	0
K03125	0	0	0	0	0	0	0	0
K03126	0	0	0	0	0	0	0	0
K03127	0	0	0	0	0	0	0	0
K03128	0	0	0	0	0	0	0	0
K03129	0	0	0	0	0	0	0	0
K03130	0	0	0	0	0	0	0	0
K03131	0	0	0	0	0	0	0	0
K03132	0	0	0	0	0	0	0	0
K03133	0	0	0	0	0	0	0	0
K03134	0	0	0	0	0	0	0	0
K03135	0	0	0	0	0	0	0	0
K03136	1	0	0	0	0	1	1	0
K03137	0	0	0	0	0	0	0	0
K03138	0	0	0	0	0	1	0	0
K03139	0	0	0	0	0	0	0	0
K03140	0	0	0	0	0	0	0	0
K03141	0	0	0	0	0	0	0	0
K03142	0	0	0	0	0	0	0	0
K03143	0	0	0	0	0	0	0	0
K03144	0	0	0	0	0	0	0	0
K03147	3	40	25	22	33	25	12	6
K03148	22	168	124	116	144	112	36	14
K03149	4	45	40	31	50	38	15	9
K03150	0	3	4	2	3	3	2	0
K03151	0	12	8	2	18	24	4	0
K03153	8	88	59	46	85	65	19	9
K03154	4	39	37	19	43	28	10	3
K03156	0	0	0	0	0	0	0	0
K03157	0	0	0	0	0	0	0	0
K03158	0	0	0	0	0	0	0	0
K03159	0	0	0	0	0	0	0	0
K03160	0	0	0	0	0	0	0	0
K03161	0	0	0	0	0	0	0	0
K03165	0	0	0	1	0	0	0	0
K03171	0	0	0	0	0	0	0	0
K03172	0	0	0	0	0	0	0	0
K03173	0	0	0	0	0	0	0	0
K03174	0	0	0	0	0	0	0	0
K03175	0	0	0	0	0	15	0	0
K03176	0	0	0	0	0	0	0	0
K03178	0	0	0	0	0	0	0	0
K03179	8	56	38	30	50	47	20	6
K03181	2	1	1	0	0	2	0	0
K03182	7	74	50	38	56	43	18	7
K03183	9	110	76	59	122	81	33	12
K03184	3	14	7	6	5	9	5	0
K03185	7	41	20	19	21	22	12	1
K03186	9	43	28	20	41	35	11	7
K03191	0	0	0	0	0	0	0	0
K03193	0	0	0	0	0	0	0	0
K03194	0	0	0	0	0	0	0	0
K03195	4	28	19	23	39	38	13	1
K03196	2	20	9	13	16	12	9	2
K03197	1	6	1	3	6	4	1	0
K03198	1	1	1	2	3	2	1	0
K03199	1	4	3	3	14	7	3	0
K03200	1	4	5	1	10	5	3	0
K03201	0	4	1	1	6	2	1	0
K03202	0	0	0	0	0	0	0	0
K03203	0	2	1	0	3	1	1	0
K03204	1	4	2	1	7	7	3	0
K03205	0	3	0	2	3	4	2	0
K03209	0	0	0	0	0	0	0	0
K03210	10	114	76	60	92	96	30	12
K03211	0	0	0	0	0	0	0	0
K03213	0	0	0	0	0	0	0	0
K03217	16	146	92	70	134	104	46	10
K03219	0	11	5	6	6	7	3	1
K03221	0	0	0	0	0	0	0	0
K03222	0	3	2	1	1	0	1	0
K03223	0	5	2	2	3	1	2	0
K03224	0	9	5	4	6	1	2	1
K03225	0	3	2	1	1	1	0	0
K03226	3	13	6	9	10	7	3	1
K03227	0	1	1	0	0	0	0	0
K03228	0	0	0	0	0	0	0	0
K03229	1	15	7	6	6	6	2	3
K03230	2	16	8	9	10	5	5	1
K03231	0	0	0	0	0	0	0	0
K03236	2	1	0	0	1	0	2	0
K03237	0	0	0	0	0	0	8	0
K03238	0	0	0	0	1	0	1	0
K03239	0	0	0	0	0	0	1	0
K03240	0	0	0	0	0	0	0	0
K03241	0	0	0	0	0	0	0	0
K03242	1	0	0	0	0	0	1	0
K03243	1	0	2	0	2	2	1	0
K03245	0	0	0	0	0	0	0	0
K03246	0	0	0	0	0	0	0	0
K03247	0	0	0	0	0	0	0	0
K03248	0	0	0	0	0	0	0	0
K03249	0	0	0	0	0	0	1	0
K03250	0	0	0	0	0	0	0	0
K03251	0	0	0	0	0	0	0	0
K03252	0	0	0	0	0	0	0	0
K03253	0	0	0	0	0	0	0	0
K03254	0	0	0	4	3	1	1	0
K03257	0	0	0	0	0	0	0	0
K03258	0	0	0	2	0	0	0	0
K03259	0	0	0	0	0	0	0	0
K03260	2	2	0	6	2	2	0	0
K03262	0	0	0	0	0	0	0	0
K03264	0	0	0	0	0	0	2	0
K03265	2	15	11	11	16	19	8	2
K03267	0	0	0	0	0	0	0	0
K03268	0	1	3	1	1	3	0	1
K03269	4	20	18	7	12	13	3	2
K03270	5	41	30	24	34	32	10	1
K03271	5	77	43	37	57	51	20	4
K03272	3	54	32	20	48	35	13	4
K03273	2	53	25	25	50	34	11	5
K03274	2	19	8	11	10	14	3	4
K03275	0	0	1	1	1	0	0	0
K03276	0	0	0	0	1	0	0	0
K03277	0	0	0	1	1	0	0	0
K03278	0	0	1	1	1	0	0	0
K03279	0	0	0	0	1	0	0	0
K03280	0	3	1	0	1	2	3	0
K03283	0	7	7	0	0	0	7	0
K03313	1	15	17	12	16	14	5	1
K03314	0	0	0	0	0	0	0	0
K03315	0	1	1	1	0	1	0	0
K03330	1	0	0	0	0	0	0	0
K03331	0	0	0	0	0	0	0	0
K03332	1	7	2	1	7	4	1	0
K03333	2	31	15	21	18	16	8	2
K03334	0	0	0	8	0	0	0	0
K03335	3	30	15	15	22	21	11	1
K03336	2	27	11	13	15	21	8	0
K03337	3	23	11	13	12	21	7	1
K03338	2	15	6	6	7	14	3	0
K03339	0	0	0	0	0	0	0	0
K03340	0	1	0	0	0	0	0	0
K03341	0	0	0	0	0	0	0	0
K03342	0	13	5	10	14	5	3	0
K03343	1	5	3	1	5	4	1	0
K03344	0	0	0	0	0	0	0	0
K03345	0	0	0	0	0	0	0	0
K03347	0	0	0	0	0	0	0	0
K03348	0	0	0	0	0	0	0	0
K03349	0	0	0	0	0	0	0	0
K03350	0	0	0	0	0	0	0	0
K03351	0	0	0	0	0	0	0	0
K03352	0	0	0	0	0	0	0	0
K03353	0	0	0	0	0	0	0	0
K03354	0	0	0	0	0	0	0	0
K03355	0	12	0	6	6	0	0	0
K03356	0	0	0	0	0	0	0	0
K03357	0	0	0	0	0	0	0	0
K03358	0	0	0	0	0	0	0	0
K03359	0	0	0	0	0	0	0	0
K03360	0	0	0	0	0	0	0	0
K03361	0	0	0	0	0	0	0	0
K03362	0	0	0	0	0	0	0	0
K03363	0	0	0	0	0	0	0	0
K03364	0	0	0	0	0	0	0	0
K03365	0	2	3	1	1	3	0	0
K03366	2	29	16	14	21	24	6	1
K03367	0	0	0	0	2	4	0	0
K03368	0	8	0	0	4	4	0	0
K03369	0	0	0	0	0	0	0	0
K03370	0	0	0	0	0	0	0	0
K03371	0	0	0	0	0	0	0	0
K03372	0	0	0	0	0	0	0	0
K03373	0	0	0	0	0	0	0	0
K03374	0	0	0	0	0	0	0	0
K03375	0	0	0	0	0	0	0	0
K03376	0	0	0	0	0	0	0	0
K03378	0	0	0	0	0	0	0	0
K03379	2	32	26	24	34	18	14	3
K03380	6	66	42	42	51	39	24	9
K03381	8	160	72	76	148	88	64	8
K03382	0	0	0	0	0	0	0	0
K03383	1	4	2	5	5	4	5	2
K03384	0	0	0	0	0	0	0	0
K03385	0	3	3	1	3	5	4	1
K03388	1	11	8	21	12	13	3	1
K03389	2	3	3	2	5	1	2	1
K03390	1	0	1	3	3	1	1	0
K03391	4	16	14	18	18	16	6	2
K03392	3	71	39	34	70	32	28	3
K03393	0	0	0	0	0	0	0	0
K03394	1	5	3	4	5	4	1	0
K03396	2	7	9	4	5	7	5	0
K03399	1	0	0	0	1	0	3	0
K03403	0	0	0	0	0	0	0	0
K03404	0	2	0	1	2	2	0	2
K03405	4	27	15	16	36	21	9	7
K03406	86	348	258	188	292	274	114	36
K03407	20	210	162	130	162	160	64	16
K03408	18	148	110	76	112	100	60	4
K03409	2	22	13	19	20	24	9	3
K03410	1	11	8	4	11	7	3	0
K03411	2	14	11	5	14	10	5	1
K03412	12	152	106	118	130	122	54	6
K03413	20	224	154	128	232	224	82	12
K03414	3	8	4	2	4	6	1	0
K03415	4	6	10	0	6	2	0	0
K03416	0	2	1	3	2	1	0	0
K03417	4	51	37	41	55	46	18	2
K03418	1	8	5	3	4	7	4	0
K03419	0	0	0	0	0	0	0	0
K03420	0	0	0	1	0	0	0	0
K03421	0	0	0	0	0	0	0	0
K03422	0	0	0	0	0	0	0	0
K03425	4	30	16	6	8	16	6	0
K03426	6	40	26	26	36	36	12	8
K03428	0	3	4	4	8	3	1	0
K03429	2	17	12	9	23	17	5	2
K03430	1	26	15	14	18	15	9	3
K03431	8	71	52	40	68	46	31	6
K03432	1	11	4	2	9	6	1	1
K03433	1	12	7	2	13	9	3	1
K03434	0	0	0	0	0	0	0	0
K03456	0	0	0	0	0	0	0	0
K03460	0	0	0	0	0	0	0	0
K03462	2	3	2	3	4	5	1	0
K03463	0	0	0	0	0	0	0	0
K03464	2	4	1	1	3	3	3	2
K03465	2	24	22	28	36	12	6	2
K03469	17	120	87	87	108	107	43	13
K03470	7	64	48	40	57	40	25	7
K03471	0	7	6	4	8	2	4	1
K03472	0	2	1	0	1	0	0	0
K03473	1	0	0	0	1	1	0	0
K03474	2	37	27	14	31	28	10	5
K03475	2	0	0	0	0	0	0	0
K03476	0	8	1	2	6	3	4	0
K03479	0	0	0	0	0	0	0	0
K03494	0	0	0	0	0	0	0	0
K03504	0	0	0	0	0	0	0	0
K03505	0	0	0	0	0	0	0	0
K03506	0	0	0	0	0	0	0	0
K03512	0	0	0	0	0	0	0	0
K03513	0	0	0	0	0	0	0	0
K03514	0	0	0	0	0	0	0	0
K03517	2	27	19	18	35	14	12	5
K03518	40	428	272	246	362	254	198	50
K03519	30	264	150	178	240	172	122	46
K03520	8	294	128	134	226	152	114	34
K03524	11	59	41	34	44	37	19	4
K03525	6	63	35	33	50	37	16	8
K03526	6	49	37	38	49	40	10	5
K03527	21	184	114	103	160	129	49	18
K03531	8	55	35	34	54	49	29	6
K03532	1	14	13	5	6	7	3	0
K03533	0	0	0	0	0	0	0	0
K03537	0	0	0	0	0	0	0	0
K03538	0	0	0	0	0	0	4	0
K03539	0	0	0	0	0	0	0	0
K03540	1	1	0	3	0	1	0	0
K03541	0	0	0	0	0	0	0	0
K03542	0	0	0	0	0	0	0	0
K03544	6	51	38	27	51	29	27	4
K03550	6	52	35	33	49	43	16	4
K03551	6	48	37	30	47	40	20	6
K03553	5	48	39	37	46	45	24	4
K03563	0	12	10	6	9	10	3	0
K03581	1	10	7	4	10	8	2	2
K03582	2	30	17	11	27	17	8	2
K03583	1	5	0	0	0	1	1	0
K03584	5	51	40	41	50	39	12	8
K03587	8	52	36	38	55	33	17	5
K03588	14	74	46	52	65	42	24	5
K03589	8	48	31	30	39	39	21	6
K03590	7	44	33	30	42	41	22	4
K03602	3	58	46	39	46	52	29	7
K03621	4	112	96	72	98	80	38	6
K03628	6	69	41	40	59	44	20	10
K03629	3	28	19	16	19	18	8	5
K03635	10	91	61	58	82	63	26	9
K03636	4	38	18	20	40	26	18	2
K03637	6	52	42	25	46	41	20	6
K03639	8	55	40	33	48	38	26	2
K03644	8	61	42	36	53	34	15	6
K03654	4	46	25	23	48	37	26	4
K03655	11	56	44	55	60	65	36	4
K03661	0	0	0	0	0	6	0	0
K03662	0	0	0	0	0	0	0	0
K03663	0	0	0	0	0	0	0	0
K03666	6	38	29	33	32	32	11	4
K03678	0	0	0	0	0	0	0	0
K03679	0	0	0	0	2	0	2	1
K03680	1	1	0	2	3	1	0	0
K03681	0	0	0	0	0	0	0	0
K03685	6	54	41	30	51	39	13	6
K03688	3	66	35	32	41	37	17	7
K03689	0	0	0	0	0	0	0	0
