KO_ID	P1	P2	P3	P4	I1	I2	I3	I4
K00190	0	0	0	0	0	0	0	0
K00191	0	0	0	0	0	0	0	0
K00192	0	0	0	0	0	0	0	0
K00193	0	0	0	0	0	0	0	0
K00194	0	2	0	0	2	2	0	2
K00195	0	0	0	0	0	0	0	0
K00196	0	4	2	0	2	0	0	0
K00197	0	0	0	0	0	0	0	0
K00198	0	0	0	0	0	0	0	0
K00200	0	4	3	1	5	7	3	1
K00201	0	5	5	1	7	10	1	1
K00202	0	6	5	1	1	6	3	1
K00203	0	1	1	0	0	0	0	0
K00204	0	0	0	0	0	0	0	0
K00205	0	1	0	1	0	0	0	0
K00206	0	0	0	0	0	0	0	0
K00207	0	0	0	0	0	0	0	0
K00208	4	67	57	44	58	50	26	10
K00210	22	142	106	96	158	96	62	14
K00211	0	0	0	0	0	0	0	0
K00212	0	0	0	0	0	0	0	0
K00213	0	1	1	0	1	0	0	0
K00214	0	1	0	0	0	0	0	0
K00215	6	74	50	31	55	54	24	7
K00216	2	1	0	1	0	1	1	0
K00217	0	56	12	32	28	16	20	4
K00218	0	5	2	3	4	6	2	2
K00220	22	138	102	94	154	94	60	14
K00222	0	1	1	0	1	0	0	0
K00223	0	0	0	0	0	0	0	0
K00224	0	0	0	0	0	0	0	0
K00225	0	0	1	0	0	0	1	0
K00226	8	79	40	50	70	53	24	4
K00227	0	11	6	3	8	7	3	3
K00228	3	44	23	20	35	30	14	1
K00230	4	15	9	5	7	1	5	1
K00231	4	35	24	18	39	30	9	4
K00232	0	0	0	0	0	0	0	0
K00234	0	0	0	0	0	0	0	0
K00235	0	0	0	0	0	0	0	0
K00236	0	0	0	0	0	0	0	0
K00237	0	0	0	0	0	0	0	0
K00239	60	445	320	310	365	325	160	30
K00240	55	395	290	255	385	300	125	30
K00241	35	275	195	185	235	205	90	25
K00242	10	125	95	100	85	80	30	0
K00244	24	258	162	156	162	132	96	12
K00245	48	240	150	150	252	174	84	24
K00246	12	54	30	30	30	36	24	12
K00247	12	36	30	24	30	36	18	12
K00248	39	612	348	360	510	369	180	66
K00249	160	1915	1210	1245	1560	1080	690	175
K00251	0	0	0	0	0	0	0	0
K00252	16	216	164	144	220	172	88	20
K00253	6	39	31	28	30	28	10	4
K00254	5	44	22	29	43	28	14	1
K00255	2	24	12	14	16	10	8	0
K00257	14	148	92	76	132	78	48	10
K00258	0	0	0	0	0	0	0	0
K00259	10	74	46	52	66	44	26	8
K00260	6	33	9	9	18	6	3	3
K00261	25	250	190	180	350	220	100	25
K00262	21	180	144	132	213	144	66	21
K00263	4	30	10	24	16	24	4	4
K00264	0	2	2	2	0	2	2	0
K00265	12	102	56	52	96	64	36	0
K00266	22	194	116	154	154	146	54	14
K00270	4	26	8	22	12	20	4	2
K00272	0	0	0	0	0	0	0	0
K00273	20	185	75	65	125	65	45	5
K00274	16	536	360	304	368	280	96	56
K00275	3	42	23	18	26	27	12	2
K00276	12	90	72	72	96	54	18	6
K00278	2	76	48	48	70	56	28	4
K00279	0	3	0	0	3	1	1	0
K00281	5	43	25	25	31	20	7	5
K00282	4	25	19	25	30	20	6	6
K00283	7	44	30	36	38	24	8	7
K00284	6	54	30	29	51	35	18	0
K00285	10	82	60	40	74	58	20	8
K00286	6	57	44	36	56	46	23	6
K00287	8	116	82	74	98	94	38	8
K00288	1	19	12	11	19	20	6	1
K00289	0	0	0	0	0	0	0	0
K00290	10	66	42	40	78	72	18	18
K00291	0	0	0	0	0	0	0	0
K00292	0	3	0	0	2	1	1	0
K00293	0	0	0	0	2	2	2	0
K00294	18	88	56	64	88	78	38	8
K00295	0	0	0	0	0	0	0	0
K00296	0	0	0	0	0	0	0	0
K00297	24	252	165	132	219	174	63	21
K00299	3	10	6	5	12	5	5	2
K00301	1	62	36	34	53	41	23	5
K00302	4	69	49	48	68	50	22	8
K00303	9	86	65	68	82	82	32	10
K00304	1	14	13	13	16	16	3	1
K00305	0	11	10	12	12	10	5	1
K00306	0	0	0	0	0	0	0	0
K00307	0	0	0	0	0	0	0	0
K00308	0	0	0	0	0	0	0	0
K00310	0	0	1	1	2	0	1	0
K00312	0	0	0	0	0	0	0	0
K00314	0	0	0	0	0	0	0	0
K00315	3	23	15	14	21	10	6	2
K00316	2	68	52	46	74	80	26	6
K00317	2	9	6	8	7	10	4	1
K00318	4	41	28	30	39	29	17	9
K00319	0	0	0	0	0	0	0	0
K00320	5	27	23	32	26	23	15	2
K00322	7	43	37	31	51	47	24	4
K00323	0	0	0	0	0	0	0	0
K00324	15	67	67	76	91	79	46	6
K00325	10	41	42	36	46	48	25	3
K00326	5	13	4	8	12	8	5	1
K00328	0	0	0	0	0	0	0	0
K00329	7	79	41	57	65	44	20	10
K00330	11	60	48	41	61	47	20	8
K00331	9	68	47	42	67	55	24	10
K00332	10	61	37	38	62	40	19	10
K00333	13	65	50	39	67	39	27	14
K00334	18	80	63	57	80	59	22	21
K00335	12	86	57	60	77	60	22	17
K00336	8	51	48	45	56	48	19	17
K00337	11	64	52	37	60	47	22	14
K00338	4	59	54	34	63	49	20	7
K00339	9	69	52	37	60	52	22	11
K00340	9	71	54	40	63	51	22	12
K00341	9	78	55	49	70	49	29	14
K00342	8	85	61	47	68	54	29	13
K00343	7	87	53	47	72	54	26	12
K00356	8	79	43	61	68	44	20	10
K00357	0	0	0	0	0	0	0	0
K00360	2	9	5	6	8	6	1	0
K00362	2	12	7	6	8	7	2	0
K00363	8	50	28	33	49	36	24	6
K00364	1	3	2	1	4	2	4	0
K00365	0	20	8	6	12	18	6	2
K00366	5	57	41	33	50	45	22	3
K00367	3	53	35	27	32	34	9	4
K00368	0	20	12	10	19	9	11	0
K00369	0	0	0	0	0	0	0	0
K00370	6	24	10	8	12	6	22	0
K00371	2	8	6	2	10	2	10	0
