"fgene","P1","P2","P3","P4","I1","I2","I3","I4"
"AAA19800.1|CBM34|GH13_39|3.2.1.1|3.2.1.41",0,0,0,0,1,0,0,0
"AAA19800.2|CBM34|GH13_39",0,0,0,0,0,0,1,0
"AAA20560.1|GH15|3.2.1.3",0,0,0,0,0,1,0,0
"AAA21932.1|GH33|3.2.1.18",1,1,0,2,1,1,0,0
"AAA22308.1|CBM20|GH13_2|2.4.1.19",0,0,0,0,0,0,1,0
"AAA23086.1|CBM2|CBM3|GH9|3.2.1.4",0,3,1,0,0,0,0,1
"AAA23089.1|CBM2|GH5_1|3.2.1.4",0,0,0,0,0,1,0,1
"AAA23091.1|GH1|3.2.1.21",0,0,0,0,0,0,1,0
"AAA24776.1|CBM50|GH73|3.2.1.17|3.2.1.96",0,1,0,0,0,0,0,0
"AAA30255.1|GH33",0,0,1,0,0,0,3,0
"AAA34256.1|CBM18",0,0,0,0,0,0,1,0
"AAA51377.1|CBM18|GH19|3.2.1.14",0,0,0,0,0,0,1,0
"AAA71887.1|CBM3|GH44|GH5_8|3.2.1.4|3.2.1.78",0,1,0,0,0,0,0,0
"AAA83223.1|CBM12|CBM5|GH18|3.2.1.14",0,4,0,1,2,1,0,2
"AAA90913.1|GH10|3.2.1.8",0,0,0,0,0,1,0,0
"AAA91086.1|CBM3|GH48|GH9|3.2.1.4",0,1,1,0,0,0,1,0
"AAB00822.1|CBM2|GH48|3.2.1.176",0,2,0,1,1,0,2,1
"AAB05218.1|GT7|2.4.1.38",0,1,0,0,0,0,1,0
"AAB48020.1|AA3_2",2,2,0,0,1,0,0,1
"AAB52722.1|CBM55|GH18|3.2.1.14",0,0,0,0,1,0,0,0
"AAB63465.1|GT41|2.4.1.255",0,1,0,2,0,0,1,1
"AAB70917.1|CBM12|GH18|3.2.1.14",0,0,0,0,0,0,1,0
"AAB90655.1|GT2",0,1,0,0,0,0,1,0
"AAB95326.1|CBM22|CBM3|CBM6|GH10|GH43_16|3.2.1.8",1,0,0,0,1,1,0,1
"AAC06926.1|GT0",1,0,0,0,0,0,0,0
"AAC07235.1|GT83",0,0,0,0,1,0,1,0
"AAC07593.1|GT2",0,0,0,0,0,2,1,1
"AAC12819.1|AA7",0,1,1,0,0,0,2,1
"AAC13727.1|CBM50",0,1,0,0,0,0,0,0
"AAC32197.1|AA3_1|AA8",1,0,0,0,1,0,1,0
"AAC36898.1|CBM2|GH6|3.2.1.91",1,1,0,0,1,0,1,0
"AAC39358.1|AA7",0,0,0,0,1,0,0,0
"AAC41686.1|AA1_1|1.10.3.2",0,1,0,0,0,0,0,0
"AAC47556.1|CBM14",3,6,4,4,7,4,4,3
"AAC47557.1|CBM14",9,17,17,13,16,11,16,9
"AAC49277.1|AA3_1|AA8",0,1,0,1,1,0,0,0
"AAC49446.1|GT41",0,0,0,0,1,0,0,0
"AAC53121.1|GT41|2.4.1.255",1,0,0,0,0,0,0,0
"AAC61839.1|AA7",1,0,1,0,0,0,0,0
"AAC70277.1|CBM14",0,0,1,2,1,0,0,0
"AAC79667.1|CBM5|GH18|3.2.1.14",0,0,1,0,0,0,0,0
"AAC98688.2|GH33",4,12,4,6,9,5,15,12
"AAD14758.1|GT2",2,0,0,0,2,0,3,2
"AAD20147.1|CE8",0,1,0,0,1,1,2,1
"AAD26336.1|CBM20",0,0,0,0,1,0,0,0
"AAD30363.1|CBM22|CBM3|CBM6|GH10|GH43_16|3.2.1.55|3.2.1.8",0,1,1,0,1,2,0,1
"AAD34550.1|CE3",0,1,0,1,2,0,1,1
"AAD35127.1|CE0",1,2,2,0,2,2,3,0
"AAD35838.1|GT2|GT4",0,0,0,0,0,0,0,1
"AAD52672.1|CBM14|GH18",0,2,0,0,0,0,0,0
"AAE63612.1|CBM2|GH6",0,0,0,0,1,0,1,0
"AAF04861.1|GT48",0,0,0,0,1,0,0,0
"AAF06064.1|CBM3|GH9",0,0,0,0,0,0,1,1
"AAF14365.1|CBM1|GH11|3.2.1.8",1,1,1,1,0,1,2,2
"AAF16649.1|CE8",0,0,0,1,0,0,1,0
"AAF17665.1|CBM45",0,1,0,0,0,0,0,0
"AAF21468.1|CBM12|CBM5|GH18|3.2.1.14",0,4,1,1,2,0,2,1
"AAF22274.1|AA10|CBM3|GH5_8|3.2.1.78",0,0,0,0,1,0,0,1
"AAF24999.1|GH32|3.2.1.7",0,0,0,0,0,0,0,1
"AAF26789.1|GT41|2.4.1.255",1,1,2,1,4,3,4,2
"AAF26838.1|CBM6|GH96|3.2.1.158",0,1,0,0,0,0,1,0
"AAF40140.1|CBM43|GH72|2.4.1.-",0,0,0,0,0,0,1,0
"AAF45644.1|CBM14",0,0,3,1,0,0,2,1
"AAF50480.2|CBM14",0,1,0,0,0,0,0,0
"AAF50522.3|GH22",0,0,0,0,1,0,0,0
"AAF50778.3|CBM14",0,1,0,0,0,0,0,0
"AAF51432.1|GT105",1,0,1,0,2,1,0,0
"AAF52351.2|CBM14",0,0,1,1,0,1,0,0
"AAF55179.1|GT105",1,0,0,1,2,1,2,0
"AAF55402.1|CBM14",4,12,8,4,7,9,12,8
"AAF61649.1|CBM22|CBM3|GH10|3.2.1.8",2,0,0,0,0,1,1,0
"AAF74782.1|CBM12|GH18|3.2.1.14",0,0,0,0,1,0,0,0
"AAF79504.1|GH36",0,1,0,1,0,0,0,1
"AAF79585.1|GH28",7,15,9,11,20,15,28,18
"AAF80600.1|GH55|3.2.1.58",0,0,0,0,0,0,0,1
"AAF82611.1|GH13_32",1,0,0,0,0,0,0,0
"AAF83628.1|CBM2|GH5_1|3.2.1.4",1,15,10,6,5,6,16,7
"AAF84076.1|CBM2|GH6",1,2,0,0,2,1,1,1
"AAG02362.1|GT0",0,1,0,0,0,0,0,0
"AAG18896.1|GT2",0,1,0,0,0,0,1,0
"AAG59609.1|PL9_1|4.2.2.2",0,0,1,0,1,1,1,1
"AAG60613.1|GH47",1,1,0,2,1,1,1,1
"AAH14434.1|GT41|2.4.1.255",0,0,0,0,0,0,1,0
"AAH72826.1|GH47",0,0,0,1,1,0,0,0
"AAH82353.1|GT41",1,0,0,1,0,1,2,1
"AAH93594.1|GT90",0,0,0,1,0,0,0,0
"AAH93852.1|GT105|2.4.1.109",0,0,0,1,0,0,0,0
"AAI25762.1|CBM13",0,1,1,0,0,0,1,1
"AAI40543.1|GT41",0,1,0,0,0,0,0,0
"AAI49808.1|CBM13",0,3,2,1,0,2,1,1
"AAI63923.1|GT41",3,6,1,1,4,5,0,4
"AAI66274.1|GT105",0,0,0,0,1,0,1,0
"AAK06394.1|CBM3|GH44|GH9",0,0,0,0,0,1,0,0
"AAK11576.1|CBM5|GH18|3.2.1.14",0,0,0,0,0,0,1,0
"AAK22106.1|GT41",0,1,0,0,0,1,1,1
"AAK22740.1|GT4",0,0,0,0,0,0,1,0
"AAK24767.1|GH10",0,0,0,0,0,1,0,0
"AAK53478.1|GT4",1,0,0,0,0,0,0,0
"AAK56291.1|GT60|2.4.1.-",0,1,0,0,0,0,2,0
"AAK62837.1|CBM6|GH86",1,1,1,1,1,3,2,2
"AAK76896.1|GH24",0,1,0,0,0,0,0,0
"AAK77953.1|AA1_3",0,0,0,1,1,0,0,1
"AAK79847.1|GH0",0,0,0,0,1,0,0,0
"AAK81605.1|GH28",0,1,0,0,0,0,0,0
"AAK83192.1|GT2",0,0,0,0,1,0,0,0
"AAL01718.1|AA10",0,0,0,0,0,1,1,0
"AAL17912.1|CBM14",2,2,4,5,4,2,6,4
"AAL26904.1|GH55",0,0,0,0,1,1,0,0
"AAL43573.1|GT1",1,0,0,0,0,0,0,0
"AAL46648.1|CBM5|GH18",0,0,0,0,1,0,1,0
"AAL49222.1|CBM14",0,0,0,0,0,0,1,0
"AAL81357.1|CBM2|GH18|3.2.1.14",0,0,0,1,0,0,0,1
"AAL90891.1|GH33",0,0,0,0,0,0,0,1
"AAL96785.1|GH24",0,0,0,1,0,0,0,0
"AAM05403.1|CBM48|GH13_11",0,0,0,0,1,0,0,0
"AAM07425.1|GT2",1,0,0,1,0,0,0,0
"AAM09345.2|GH22",2,1,2,0,1,0,1,0
"AAM21357.1|CBM14",1,0,1,0,0,2,0,1
"AAM23368.1|GH5_19",1,2,2,3,0,1,0,2
"AAM23530.1|CE9",0,0,0,1,2,0,0,1
"AAM23924.1|GT4",0,0,0,0,1,0,0,1
"AAM23926.1|GT4",0,1,0,0,0,0,0,0
"AAM24122.1|CE4|3.1.1.72",0,0,0,0,0,0,2,0
"AAM24139.1|GH23",0,0,0,0,1,0,0,1
"AAM25264.1|GH23",1,0,0,0,1,2,0,0
"AAM25371.1|CBM50",0,3,0,0,2,1,1,2
"AAM30823.1|GT2",0,0,0,0,0,0,1,0
"AAM30873.1|GT4",1,0,0,0,0,0,1,0
"AAM31906.1|GT66",1,0,0,0,0,0,1,0
"AAM31909.1|GT2|GT4",0,0,0,0,0,0,1,0
"AAM31913.1|GT2",0,0,0,0,0,1,0,1
"AAM33211.1|GT49",0,0,0,0,0,0,1,0
"AAM33693.1|GH47",2,0,0,0,0,0,0,1
"AAM33758.1|GH2",0,0,0,0,0,0,1,1
"AAM35063.1|CE12",0,0,0,1,0,0,0,0
"AAM52060.1|GT0|2.4.2.-",0,1,0,0,1,0,1,0
"AAM73205.1|GT2|2.4.1.-",0,1,0,0,0,0,0,2
"AAM73242.1|GT51",0,0,0,0,0,0,0,1
"AAM82701.1|GT2",0,0,0,0,0,0,1,0
"AAM91582.1|GT33",0,1,1,0,1,2,2,0
"AAN04247.1|GT2",0,0,0,1,0,0,0,0
"AAN08019.1|GT2",0,0,0,0,0,3,1,1
"AAN12506.1|GT2",2,6,2,3,3,2,3,3
"AAN14054.2|CBM14",15,44,36,34,45,35,56,45
"AAN24297.1|CBM32|GH101|3.2.1.97",0,0,0,2,0,0,0,1
"AAN24480.1|GH23",1,1,1,1,1,1,2,1
"AAN50822.1|GT4",0,0,0,0,0,0,0,1
"AAN57619.1|GH23",0,0,1,0,0,0,0,0
"AAN63949.1|CBM14",0,0,0,0,0,0,1,0
"AAN67400.1|GT4",0,1,1,0,0,0,1,1
"AAO00509.1|GH107",1,1,0,1,0,0,0,0
"AAO06143.1|GH18",0,1,0,0,0,0,1,0
"AAO06354.1|GT2",0,0,1,0,1,0,0,0
"AAO08114.1|CBM5|GH18",1,0,0,1,0,0,0,1
"AAO28402.1|CBM2|GH6",0,1,2,0,0,0,0,0
"AAO29683.1|CBM2|GH5_1",2,9,2,7,7,5,16,4
"AAO30669.1|GH33|2.4.1.-",1,1,0,1,2,0,0,0
"AAO35211.1|CBM50",0,1,0,0,1,0,1,1
"AAO41659.1|CBM14",2,4,1,2,1,2,2,1
"AAO43396.1|CE9",0,1,0,1,0,1,1,0
"AAO47607.1|CBM5|GH18|3.2.1.14",0,1,1,1,1,0,1,1
"AAO54603.1|GT2",0,0,0,0,1,1,0,0
"AAO57421.1|GH28",0,1,0,0,0,0,0,0
"AAO61685.1|GH18",0,0,0,1,0,2,0,2
"AAO76290.1|GT2",632,1783,1261,1064,1679,1313,1848,1460
"AAO76888.1|GH43_2",0,1,0,0,1,1,0,1
"AAO78471.1|GT0|GT2",0,1,0,0,0,0,0,0
"AAO78494.1|GT2",0,0,0,1,1,0,0,0
"AAO82730.1|CE0",3,9,9,4,9,14,14,7
"AAO88279.1|CBM16|GH111|3.2.1.-",0,0,0,0,0,1,1,0
"AAP04164.1|CE8",0,0,0,0,1,0,0,0
"AAP46217.1|CBM43|GH17",1,0,0,0,0,0,0,0
"AAP49340.1|CBM10|CBM2|GH45|3.2.1.4",0,1,0,0,0,0,0,0
"AAP58505.1|GT51",0,2,0,0,1,2,2,1
"AAP58539.1|GH94|GT84",1,4,1,2,3,1,0,1
"AAP58602.1|GT4",0,0,0,1,1,0,0,0
"AAP70368.1|PL1_11|PL1_5",0,1,1,0,0,0,1,0
"AAQ23684.1|GT2",1,1,0,0,0,0,1,0
"AAQ57775.1|GH16",1,7,5,3,6,8,8,4
"AAQ58026.2|GH23",0,1,1,1,0,0,0,1
"AAQ58492.1|GT4",0,0,0,0,0,1,0,0
"AAQ58836.1|GT83",0,1,0,0,0,0,0,0
"AAQ61781.1|GT4",0,0,0,0,0,0,1,0
"AAQ62556.1|GT4",0,0,0,0,1,0,0,0
"AAQ65842.1|GH109",0,0,0,0,0,0,0,1
"AAQ72464.1|GH95|3.2.1.63",0,1,0,1,2,0,1,0
"AAQ72486.1|AA3_4",0,0,0,0,1,0,0,0
"AAR13118.1|GH23",0,0,0,0,0,1,0,0
"AAR33703.1|GT35",0,0,0,0,0,0,1,0
"AAR35334.1|CE4",0,0,1,1,0,1,1,1
"AAR35734.1|GH13_26",0,1,0,0,1,1,1,0
"AAR35973.1|GT41",5,4,2,3,6,3,5,3
"AAR36414.1|GT56",1,1,1,0,0,0,1,0
"AAR36415.1|GT0|GT2|GT4",0,0,0,0,0,2,2,0
"AAR37904.1|GT41",0,4,5,3,7,6,3,3
"AAR37916.1|GT41",3,21,8,8,15,8,16,10
"AAR38495.1|GT41",1,5,5,3,6,7,9,7
"AAR38497.1|GT41",5,6,5,6,1,3,3,1
"AAR38498.1|GT41",4,3,2,4,6,3,7,5
"AAR52271.1|PL0",1,0,0,0,0,0,0,0
"AAR99609.1|GT4|2.4.1.-",0,0,0,0,1,0,0,0
"AAS05800.1|GT9",4,9,3,3,3,3,4,2
"AAS21365.1|GT41",1,0,0,0,0,0,2,1
"AAS27011.1|GT51",0,0,0,1,0,0,0,0
"AAS31752.1|GH10|GH11|3.2.1.8",2,1,1,1,2,4,2,2
"AAS40950.1|GT2",0,1,0,0,0,0,0,0
"AAS58467.1|CBM5|GH5_2|3.2.1.4",0,1,0,0,0,1,0,0
"AAS62052.1|GT2",1,1,1,1,0,0,1,1
"AAS79317.1|AA7|1.1.3.-",0,1,2,1,3,1,2,1
"AAS80627.1|GT2",1,0,0,0,0,0,0,0
"AAS88893.1|CBM53|GT5",10,19,16,8,14,13,19,14
"AAS93628.1|AA3_4|1.1.3.10",7,12,8,9,12,10,8,13
"AAS96525.1|GT2",0,0,1,0,1,0,0,0
"AAS96638.1|GH23",0,1,0,0,0,0,0,0
"AAS97464.1|GT2|GT4",0,1,0,1,2,0,1,1
"AAS99173.1|GT2",2,0,0,0,0,0,1,0
"AAT27951.1|GH32",0,2,2,0,0,1,3,0
"AAT36781.1|GT2",0,1,0,1,0,0,0,1
"AAT40044.1|CBM18|GH19",0,0,0,0,1,0,0,0
"AAT44149.1|CBM43",0,1,0,0,1,2,1,1
"AAT58698.1|GT64",2,2,2,1,3,3,3,3
"AAT77164.1|CBM12|GH18",0,0,0,1,0,0,0,0
"AAT81212.1|CBM5|GH18",2,5,4,2,4,2,5,3
"AAT84595.1|AA1_2",0,0,0,0,1,0,0,0
"AAT88260.1|GT2",2,3,2,1,1,1,2,2
"AAT88374.1|GT51",0,0,0,0,0,0,1,0
"AAT89345.1|CBM50",0,1,0,0,0,0,0,0
"AAT89656.1|CE9",0,0,0,1,0,0,0,1
"AAT89935.1|CBM2|GH5_1",0,1,0,0,0,0,1,0
"AAT96270.1|PL3_1",4,11,2,6,7,3,11,6
"AAT96311.1|PL3_1",0,0,0,0,0,0,1,1
"AAT96350.1|PL3_1",0,1,0,0,0,0,0,0
"AAU01394.1|GH13",0,2,0,0,0,0,0,1
"AAU10806.1|CBM18|GH19",0,0,1,0,0,0,0,0
"AAU18819.1|GT51",0,1,1,1,2,0,1,1
"AAU40158.1|GH23",0,1,0,0,0,0,0,0
"AAU82612.1|GT9",0,0,0,0,0,0,1,0
"AAU90351.1|GT83",0,3,2,1,4,2,2,4
"AAU90696.1|CE4",2,4,3,4,4,3,3,4
"AAU91308.1|GT5",0,1,0,0,0,0,0,0
"AAU91856.1|GT4",0,0,0,0,1,2,1,0
"AAU91881.1|GH23",0,0,0,0,0,1,0,0
"AAU92126.1|GH94",0,0,0,0,0,1,0,0
"AAU92274.1|GT4",0,0,1,0,2,1,0,1
"AAU92474.1|CBM2",0,3,0,0,1,1,0,0
"AAU92777.1|GT4",0,2,1,0,2,3,2,2
"AAU92778.1|GT2",0,0,0,0,1,0,0,0
"AAV50417.1|GT2",0,0,0,0,1,0,1,0
"AAV68857.1|CBM43",1,0,0,0,0,0,0,0
"AAV81428.1|GH23",0,0,0,0,1,0,1,0
"AAV82819.1|GT30",0,1,0,0,0,0,0,0
"AAV89252.1|GT0",0,0,0,0,0,2,0,0
"AAV94159.1|GT4",0,0,0,0,0,1,0,0
"AAV94177.1|CE4",0,0,0,1,0,0,0,1
"AAV95123.1|CE9",0,0,0,1,1,1,1,0
"AAV95598.1|CBM50",2,2,0,1,4,1,1,2
"AAV95894.1|GT2",0,0,0,0,0,0,1,0
"AAW40530.1|GT2",1,4,1,2,3,2,4,3
"AAW43127.1|GT4",5,16,8,10,12,17,9,14
"AAW47927.1|GH55|3.2.1.58",0,0,0,0,0,1,0,0
"AAW53758.1|CE9",0,0,0,0,1,0,0,0
"AAW61045.1|GT51",0,0,0,0,0,0,1,0
"AAW61172.1|GH23",0,0,0,0,0,1,0,0
"AAW84057.1|PL10_1",0,1,0,0,0,0,0,0
"AAW84066.1|GH28",0,1,1,1,1,0,3,1
"AAW85346.1|GT2",0,0,0,0,0,1,0,0
"AAW92951.1|GT2",0,0,1,0,0,0,0,0
"AAW96801.1|CBM32",1,0,0,0,0,0,0,0
"AAW97246.1|GH18",0,1,3,0,3,2,1,3
"AAW98927.1|GT28",0,0,0,0,0,0,1,0
"AAX58441.1|PL3_1",0,0,0,0,0,0,0,1
"AAX58445.1|PL3_1",0,0,0,1,0,0,0,0
"AAX58447.1|PL3_1",1,2,1,1,1,0,2,0
"AAX58449.1|PL3_1",0,1,0,0,0,0,0,0
"AAX58451.1|PL3_1",0,0,0,1,0,0,1,0
"AAX58453.1|PL3_1",0,0,0,0,1,0,0,0
"AAX58455.1|PL3_1",0,0,0,0,0,0,1,0
"AAX58457.1|PL3_1",1,1,0,1,0,0,1,0
"AAX58463.1|PL3_1",3,4,0,1,2,3,0,2
"AAX58471.1|PL3_1",0,1,0,0,0,0,0,0
"AAX58473.1|PL3_1",0,0,0,0,1,0,0,0
"AAX58475.1|PL3_1",0,1,1,0,0,1,1,0
"AAX58479.1|PL3_1",1,1,0,0,1,1,0,1
"AAX58485.1|PL3_1",0,1,0,1,0,0,1,0
"AAX58487.1|PL3_1",0,0,0,0,0,0,1,0
"AAX58489.1|PL3_1",0,0,0,0,1,0,0,0
"AAX58495.1|PL3_1",0,0,0,0,1,1,1,2
"AAX58497.1|PL3_1",0,0,0,1,0,0,0,0
"AAX58503.1|PL3_1",1,0,0,0,0,0,0,0
"AAX58509.1|PL3_1",0,0,0,0,0,0,0,1
"AAX58513.1|PL3_1",0,0,0,0,1,0,0,0
"AAX58517.1|PL3_1",0,6,3,6,3,3,6,5
"AAX58519.1|PL3_1",0,4,1,0,1,2,4,1
"AAX58523.1|PL3_1",1,1,0,2,0,1,0,1
"AAX58527.1|PL3_1",0,1,1,0,2,0,1,0
"AAX58529.1|PL3_1",0,1,0,0,0,1,1,0
"AAX58531.1|PL3_1",1,0,0,0,1,0,1,1
"AAX58535.1|PL3_1",1,0,0,0,0,0,0,0
"AAX58537.1|PL3_1",0,1,0,0,0,0,0,0
"AAX58539.1|PL3_1",0,1,0,0,2,0,0,0
"AAX58541.1|PL3_1",0,1,0,0,0,1,1,1
"AAX58543.1|PL3_1",0,0,0,0,1,1,0,0
"AAX58547.1|PL3_1",1,2,1,0,0,0,1,1
"AAX58549.1|PL3_1",1,2,1,1,1,1,0,0
"AAX58553.1|PL3_1",0,0,0,0,0,1,0,0
"AAX58555.1|PL3_1",0,0,0,1,0,0,0,0
"AAX58565.1|PL3_1",0,0,0,0,1,0,0,0
"AAX58567.1|PL3_1",0,2,0,0,1,0,3,2
"AAX58569.1|PL3_1",0,0,0,0,0,0,1,0
"AAX58575.1|PL3_1",3,6,4,4,3,6,8,7
"AAX58577.1|PL3_1",0,0,0,0,0,1,0,0
"AAX58579.1|PL3_1",0,0,1,0,0,0,0,0
"AAX58581.1|PL3_1",0,0,0,0,0,0,0,1
"AAX58585.1|PL3_1",1,1,1,0,0,0,0,0
"AAX58589.1|PL3_1",0,0,0,0,0,0,1,0
"AAX58591.1|PL3_1",0,0,1,0,0,0,1,1
"AAX58593.1|PL3_1",0,0,0,0,0,0,1,0
"AAX58595.1|PL3_1",0,0,0,0,0,0,1,0
"AAY39393.1|GH103",0,1,0,0,0,0,0,1
"AAY40291.2|GT48",0,0,0,0,0,1,0,0
"AAY50172.1|GT83",0,0,1,0,0,0,0,0
"AAY52878.1|GH73",0,0,1,0,0,0,1,0
"AAY53213.1|CBM0",0,1,0,0,0,0,0,0
"AAY84564.2|CBM14|GH18",0,0,0,0,1,1,1,1
"AAZ21820.1|CE4",1,0,0,0,0,0,0,0
"AAZ25853.1|GH10",0,1,0,0,0,0,0,0
"AAZ28315.1|CBM32",0,0,0,0,0,1,0,0
"AAZ44911.1|GT9",0,1,0,0,3,0,1,0
"AAZ44912.1|GT4",0,0,0,0,0,0,0,1
"AAZ44917.1|GT4",0,0,0,0,0,0,0,1
"AAZ44919.1|GT4",0,0,0,0,0,0,0,1
"AAZ44921.1|GT9",0,0,1,0,0,0,0,1
"AAZ44968.1|GT51",0,0,1,0,0,0,0,0
"AAZ45149.1|GT51",0,0,1,0,0,0,0,0
"AAZ45339.1|GT35",0,1,1,1,0,1,2,0
"AAZ45400.1|GH23",0,0,1,0,0,0,0,0
"AAZ45513.1|GH73",0,0,1,0,0,0,0,0
"AAZ45541.1|GT41",0,1,0,0,2,1,1,3
"AAZ45772.1|GT51",0,0,1,0,0,0,0,0
"AAZ46053.1|GH23",0,0,0,0,0,0,1,0
"AAZ46070.1|GH23",0,0,1,0,0,0,0,0
"AAZ46502.1|GT19",0,0,1,0,0,0,0,0
"AAZ46791.1|GH94|GT84",0,0,1,0,0,0,0,0
"AAZ47143.1|GT4",0,2,1,1,1,0,2,0
"AAZ47145.1|GT4",0,0,1,0,0,0,0,0
"AAZ47253.1|GH103",0,0,1,0,0,0,0,0
"AAZ47607.1|PL0",0,0,0,0,0,0,0,1
"AAZ47650.1|GT0",0,0,1,0,0,0,0,0
"AAZ48207.1|GT83",0,0,0,0,0,0,1,0
"AAZ48221.1|CE11",0,0,0,0,0,0,1,1
"AAZ48262.1|GH23",0,1,1,0,0,0,1,1
"AAZ48272.1|GT4",0,0,0,0,0,0,0,1
"AAZ48433.1|GH102",0,1,0,0,0,0,0,0
"AAZ48634.1|GT51",0,2,2,1,1,1,1,1
"AAZ48655.1|GT30",0,0,1,0,0,0,0,0
"AAZ48656.1|GT9",0,2,2,1,1,1,1,2
"AAZ48657.1|GT2",0,1,1,0,0,0,0,1
"AAZ54120.1|CE1",1,0,0,0,0,0,0,0
"AAZ54496.1|GH23",0,0,0,1,0,0,0,0
"AAZ54518.1|GH23",0,1,0,0,0,0,0,1
"AAZ54608.1|GT51",0,0,0,0,0,0,1,0
"AAZ55383.1|GH15",0,0,0,1,1,0,0,1
"AAZ55883.1|GT2",0,1,0,1,0,0,1,0
"AAZ56134.1|GT4",0,1,0,0,1,0,0,1
"AAZ56211.1|GT2",0,0,0,0,1,0,0,0
"AAZ56238.1|GH77",1,0,0,0,0,0,0,0
"AAZ56547.1|GT2",1,0,0,0,0,0,0,0
"AAZ58316.1|GT41",1,4,3,2,4,4,6,5
"AAZ58722.1|GT41",2,3,2,2,8,2,5,4
"AAZ58723.1|GT41",5,22,15,12,22,19,29,18
"AAZ60100.1|GT2|GT4",0,9,6,4,9,7,8,3
"AAZ61778.1|GH104",0,0,0,0,1,0,0,0
"AAZ63332.1|GT2",0,1,0,0,0,0,0,0
"AAZ63738.1|GT9",1,0,0,0,0,0,0,0
"AAZ64716.1|GT0",0,0,0,0,1,0,0,0
"AAZ65359.1|GT2",0,0,0,0,0,1,0,0
"AAZ65730.1|GH88",0,1,0,0,0,0,0,0
"AAZ96079.1|CE11",1,2,2,1,0,2,1,2
"AAZ96259.1|GT2",3,4,2,2,4,7,5,5
"AAZ96567.1|GT4",0,0,1,0,2,0,1,0
"AAZ96691.1|GT9",1,0,0,0,0,0,0,0
"AAZ97033.1|GT4",0,1,0,0,0,0,1,0
"AAZ97257.1|GH94|GT84",0,0,0,0,0,0,1,0
"AAZ97487.1|GT83",0,0,1,0,0,0,1,0
"AAZ97489.1|GT2",0,0,1,0,0,0,1,0
"AAZ97582.1|GH73",0,0,0,1,0,0,0,0
"AAZ97734.1|GT4",0,1,0,0,0,0,0,1
"AAZ97737.1|GT4",0,0,1,0,1,0,0,0
"AAZ97823.1|GT9",0,0,0,0,0,0,0,1
"AAZ98185.1|GH102",0,0,0,0,0,0,0,1
"ABA03819.1|GT4",0,1,1,0,1,1,1,0
"ABA04208.1|GH13_26",0,0,1,0,1,1,0,1
"ABA04470.1|GH13_16",0,0,0,0,0,1,0,0
"ABA04971.1|CE4",0,0,0,1,0,0,0,0
"ABA05066.1|GH3",0,0,0,0,0,0,1,0
"ABA06271.1|GT83",0,0,0,0,1,0,0,0
"ABA06275.1|GH15",0,1,0,0,1,0,0,1
"ABA07003.1|GT82",0,1,0,0,1,0,1,1
"ABA19039.1|CBM5",0,1,0,0,0,1,1,2
"ABA19974.1|GT41",0,0,0,0,0,0,0,1
"ABA20473.1|GT2",0,0,1,0,0,0,0,0
"ABA21150.1|GT4",0,0,0,1,0,0,0,0
"ABA22007.1|GT2",0,1,1,1,2,2,3,2
"ABA22051.1|GT4",0,0,0,0,1,0,0,0
"ABA22955.1|GT2",0,0,0,1,0,0,0,0
"ABA22957.1|GT0",0,3,2,0,1,1,2,1
"ABA38666.1|CBM20|GH13_2|3.2.1.133",2,2,1,1,2,3,2,1
"ABA47299.1|PL3_1",2,2,1,0,2,1,4,0
"ABA49091.1|GT51",4,15,7,10,10,6,14,6
"ABA49797.1|CE9",4,3,1,0,0,1,2,2
"ABA52916.1|GT9",0,0,0,0,0,0,0,1
"ABA53535.1|GT2",4,14,6,6,12,6,5,4
"ABA56022.1|GH12",28,73,36,24,61,46,76,41
"ABA57733.1|GT2",0,1,1,3,1,1,1,2
"ABA58036.1|GH0",0,1,2,1,2,1,1,1
"ABA58037.1|GT4",0,0,0,1,0,1,0,0
"ABA58247.1|GH65",1,2,1,2,5,0,1,1
"ABA58336.1|CBM50",0,0,0,1,0,0,0,1
"ABA58930.1|GT4",0,0,0,0,1,0,0,0
"ABA71724.1|GH23",0,0,0,0,1,0,0,0
"ABA75806.1|GT4",0,1,1,2,0,1,0,1
"ABA79507.1|GH8",0,1,0,0,0,0,0,0
"ABA79691.1|GH0",0,1,0,0,0,2,1,0
"ABA81557.2|GT41",0,0,0,1,1,0,2,0
"ABA87307.1|GT2",0,0,0,0,0,1,0,0
"ABA87669.1|CBM50",0,0,0,0,0,0,0,1
"ABA87784.1|GH23",1,0,0,0,0,0,0,0
"ABA88140.1|GT2",2,3,4,2,4,4,7,2
"ABA88289.1|CBM50",0,1,0,0,0,0,0,0
"ABA88385.1|GT0",0,0,0,0,0,0,0,1
"ABA88507.1|GT19",0,0,0,0,0,0,1,1
"ABA88522.1|GT83",0,0,1,1,1,1,1,0
"ABA88570.1|GH23",1,0,0,0,1,0,0,0
"ABA88762.1|PL1_2",2,2,0,1,1,3,0,1
"ABA89001.1|GT2",0,0,1,1,0,1,0,0
"ABA89828.1|GT0",0,0,0,0,2,0,0,0
"ABA90189.1|GT5",0,0,0,0,1,0,1,0
"ABB05759.1|GH3",0,0,0,0,1,0,0,0
"ABB06941.1|GT41",0,3,1,1,2,0,2,1
"ABB06942.1|GT41",0,4,1,2,0,5,3,4
"ABB07574.1|GT2",1,0,0,0,0,0,0,0
