mOTU	P1	P2	P3	P4	I1	I2	I3	I4
OTU153	0	0	0	0	0	0	0	0
OTU154	0	0	0	0	0	0	0	0
OTU155	0	0	0	0	0	0	0	0
OTU156	0	0	0	0	0	0	0	0
OTU157	0	0	0	0	0	0	0	0
OTU158	0	0	0	0	0	0	0	0
OTU159	25	26	21	21	19	21	22	18
OTU160	2	0	0	0	0	0	0	0
OTU161	0	0	1	0	1	0	0	0
OTU162	1	0	0	0	0	0	0	0
OTU163	18	13	10	13	10	11	10	13
OTU164	0	0	0	0	0	0	0	0
OTU165	1	0	0	0	1	0	0	0
OTU166	0	0	0	0	0	0	0	0
OTU167	0	0	0	0	0	0	0	0
OTU168	1	1	2	0	2	1	0	0
OTU169	0	2	2	1	0	0	4	0
OTU170	1	2	0	0	0	0	0	0
OTU171	29	21	21	15	10	16	15	13
OTU172	0	0	0	0	0	0	0	0
OTU173	0	0	0	0	0	0	0	0
OTU174	0	0	0	0	0	0	0	0
OTU175	0	2	0	0	0	0	0	0
OTU176	0	0	0	0	0	0	0	0
OTU177	0	5	3	0	2	0	3	0
OTU178	0	1	0	0	1	2	0	2
OTU179	0	0	0	0	0	0	0	0
OTU180	2	0	0	0	0	2	0	0
OTU181	0	0	0	0	0	0	0	0
OTU182	0	0	0	0	0	0	0	0
OTU183	0	0	0	0	0	0	0	0
OTU184	0	0	0	0	0	0	0	0
OTU185	0	0	0	0	0	0	0	0
OTU186	0	0	0	0	0	0	0	0
OTU187	0	0	0	0	0	0	0	0
OTU188	3	2	2	2	2	2	2	2
OTU189	0	0	0	0	0	0	0	0
OTU190	0	0	0	0	0	0	0	0
OTU191	0	0	0	0	0	0	0	0
OTU192	3	0	0	0	0	0	0	0
OTU193	0	0	0	0	0	0	0	0
OTU194	6	2	1	0	2	0	2	2
OTU195	0	0	0	0	0	0	0	0
OTU196	0	0	0	0	0	0	0	0
OTU197	0	0	0	0	0	0	0	0
OTU198	0	0	0	0	0	0	0	0
OTU199	0	0	0	0	0	0	0	0
OTU200	0	0	0	0	0	0	0	0
OTU201	0	0	0	0	0	0	0	0
OTU202	0	0	0	0	0	0	0	0
OTU203	0	0	0	0	0	0	0	0
OTU204	0	0	0	0	0	0	0	0
OTU205	0	0	0	0	0	0	0	0
OTU206	0	0	0	0	0	0	0	0
OTU207	0	0	0	0	0	0	0	0
OTU208	0	0	0	0	0	0	0	0
OTU209	0	0	0	0	0	0	0	0
OTU210	0	0	0	0	0	0	0	0
OTU211	0	0	0	0	0	0	0	0
OTU212	0	0	0	0	0	0	0	0
OTU213	0	0	0	0	0	0	0	0
OTU214	0	0	0	0	0	0	0	0
OTU215	2	2	1	3	2	0	0	0
OTU216	0	0	0	0	0	0	0	0
OTU217	0	0	0	0	0	0	0	0
OTU218	0	0	0	0	0	0	0	0
OTU219	0	0	0	0	0	0	0	0
OTU220	0	0	0	0	0	0	0	0
OTU221	0	0	0	0	0	0	0	0
OTU222	0	0	0	0	0	0	0	0
OTU223	0	0	0	0	0	0	0	0
OTU224	0	0	0	0	0	0	0	0
OTU225	0	0	0	0	0	0	0	0
OTU226	0	0	0	0	0	0	0	0
OTU227	0	0	0	0	0	0	0	0
OTU228	0	0	0	0	0	0	0	0
OTU229	0	0	0	0	0	0	0	0
OTU230	0	0	0	0	0	0	0	0
OTU231	0	0	0	0	0	0	0	0
OTU232	0	0	0	0	0	0	0	0
OTU233	3	0	0	0	0	0	1	0
OTU234	3	0	0	0	0	0	1	0
OTU235	1	0	1	0	1	0	2	0
OTU237	0	0	0	0	0	0	0	0
OTU238	0	1	0	2	2	3	0	2
OTU239	0	0	0	0	0	0	0	1
OTU240	0	0	0	0	0	0	0	0
OTU241	1	0	0	0	1	1	1	3
OTU242	1	0	0	0	0	0	0	0
OTU243	0	0	0	0	0	0	0	0
OTU244	1	0	0	0	1	0	0	0
OTU245	0	0	0	0	0	0	0	0
OTU246	0	0	0	0	0	0	0	0
OTU247	0	0	0	0	0	0	0	0
OTU248	0	0	0	0	0	0	0	0
OTU249	0	0	0	0	0	0	0	0
OTU250	0	0	0	0	0	0	0	0
OTU251	0	0	0	0	0	0	0	0
OTU252	0	0	0	0	0	0	0	0
OTU253	0	0	0	0	0	0	0	0
OTU254	0	0	0	0	0	0	0	0
OTU255	0	0	0	0	0	0	0	0
OTU256	0	0	0	0	0	0	0	0
OTU257	0	0	0	0	0	0	0	0
OTU258	2	1	1	0	2	0	1	0
OTU259	0	0	0	0	0	0	0	0
OTU260	0	0	0	0	0	0	0	0
OTU261	0	0	0	0	0	0	0	0
OTU262	0	0	0	0	0	0	0	0
OTU263	0	0	0	0	0	0	0	0
OTU264	0	0	0	0	0	0	0	0
OTU265	3	0	0	0	0	0	0	0
OTU266	2	0	0	0	0	0	0	0
OTU267	7	0	0	0	0	0	0	0
OTU268	0	0	0	0	0	0	0	0
OTU269	5	0	0	0	0	0	0	0
OTU270	0	0	0	0	0	0	0	0
OTU271	0	0	0	0	0	0	0	0
