"gene","P1","P2","P3","P4","I1","I2","I3","I4"
"GT1",184,538,335,318,452,362,578,433
"GT10",2,7,3,3,5,4,8,5
"GT102",2,4,3,1,3,5,2,4
"GT103",1,0,1,0,0,2,1,0
"GT104",15,54,37,33,42,35,65,45
"GT105",8,46,21,24,38,46,51,32
"GT11",1,8,3,2,7,9,5,5
"GT12",0,0,0,0,1,0,0,1
"GT13",40,91,71,64,88,67,116,83
"GT14",0,0,0,0,0,1,2,0
"GT15",2,12,5,5,6,6,5,8
"GT17",4,15,16,8,17,10,18,15
"GT19",65,199,128,128,195,157,217,168
"GT2",4180,12390,8239,7178,11139,8765,12296,10266
"GT20",60,151,103,92,154,96,162,129
"GT21",13,58,48,44,74,67,75,70
"GT22",37,143,98,79,124,86,165,112
"GT23",0,2,0,0,1,3,0,2
"GT24",27,62,45,34,48,35,62,50
"GT25",13,35,25,31,25,26,44,45
"GT26",55,203,116,113,174,136,203,186
"GT27",73,181,115,111,153,119,188,152
"GT28",165,469,321,291,416,315,453,405
"GT29",62,185,126,132,181,141,192,166
"GT30",71,204,138,103,201,153,209,166
"GT31",0,3,2,1,1,1,2,2
"GT32",5,34,18,16,15,15,31,20
"GT33",0,2,2,1,1,2,2,1
"GT34",18,35,26,24,24,32,43,29
"GT35",27,113,72,57,90,90,112,87
"GT39",24,47,29,42,56,32,54,45
"GT4",2032,5872,3809,3528,5231,4077,6010,4983
"GT41",508,1684,1079,943,1510,1361,1808,1399
"GT42",0,0,0,0,0,0,2,1
"GT43",1,0,1,0,0,0,1,0
"GT44",1,0,0,0,0,0,0,0
"GT45",2,1,2,0,4,3,4,1
"GT47",21,52,43,40,52,47,65,62
"GT48",4,16,15,13,22,17,22,21
"GT49",9,28,17,10,12,11,25,14
"GT5",85,247,167,138,231,145,247,196
"GT50",1,5,1,0,2,0,2,3
"GT51",624,1875,1212,1103,1635,1348,1927,1527
"GT53",5,17,12,11,17,11,15,16
"GT55",21,101,59,33,80,70,88,64
"GT56",4,5,1,1,2,1,3,1
"GT57",10,13,10,8,10,10,21,9
"GT59",0,2,0,0,0,0,1,0
"GT6",0,1,0,0,0,5,1,0
"GT60",6,24,15,11,13,14,18,18
"GT62",2,4,5,3,6,6,7,3
"GT64",4,4,3,3,7,6,4,5
"GT66",47,104,70,61,93,65,105,61
"GT68",57,156,103,93,157,116,167,133
"GT7",56,104,70,62,87,61,124,88
"GT70",1,0,0,1,0,0,0,0
"GT71",2,4,3,2,7,12,8,6
"GT73",1,0,0,0,0,0,0,0
"GT74",0,0,1,0,1,2,1,0
"GT75",1,0,0,0,1,1,1,1
"GT76",0,8,4,3,11,5,11,12
"GT77",0,3,0,0,1,1,0,0
"GT8",82,150,105,92,146,107,144,134
"GT80",27,77,55,47,67,57,63,68
"GT81",16,28,24,28,30,24,39,44
"GT82",1,3,1,0,3,1,2,1
"GT83",101,381,270,252,361,269,368,307
"GT84",16,46,34,31,45,40,45,30
"GT85",2,4,1,3,3,3,2,3
"GT87",75,207,141,144,199,134,215,167
"GT89",2,19,8,7,12,5,17,3
"GT9",230,623,407,326,552,439,591,498
"GT90",26,66,52,49,65,55,65,74
"GT91",0,5,1,1,2,2,4,4
"GT93",1,0,2,0,2,2,1,1
"GT94",1,1,1,2,1,2,4,4
"GT95",12,45,26,28,45,34,43,36
"GT96",0,6,9,4,7,4,5,4
"GT97",1,0,0,0,0,0,0,0
"GT99",0,1,0,0,1,0,3,0
"PL0",67,210,134,93,145,110,178,134
"PL1",38,131,88,53,98,118,107,107
"PL10",0,0,0,0,0,1,1,0
"PL10_1",1,5,1,0,1,4,0,1
"PL10_3",0,0,1,0,0,0,1,0
"PL11",0,0,0,0,0,1,0,1
"PL11_1",1,8,3,4,11,15,9,16
"PL11_2",2,7,12,6,13,9,14,11
"PL12",21,99,62,35,67,63,83,74
"PL12_3",3,7,6,1,7,4,6,6
"PL14",1,10,8,5,11,5,5,9
"PL14_1",0,0,0,1,2,1,0,1
"PL14_2",2,1,1,3,2,2,1,2
"PL14_3",0,0,0,0,0,0,1,0
"PL15",1,1,1,0,0,0,3,0
"PL15_1",0,2,1,0,0,0,1,0
"PL16",1,0,0,1,0,1,0,1
"PL17",1,2,3,2,6,3,5,4
"PL17_1",13,24,11,13,18,18,25,16
"PL17_2",0,1,0,0,0,0,0,0
"PL1_11",1,5,1,1,1,1,1,1
"PL1_12",1,9,3,5,8,5,8,4
"PL1_13",1,0,0,0,0,0,0,0
"PL1_2",5,27,12,4,23,42,29,26
